,daily_views
2011-02-08,439
2011-02-09,446
2011-02-10,471
2011-02-11,343
2011-02-12,270
2011-02-13,268
2011-02-14,395
2011-02-15,424
2011-02-16,488
2011-02-17,402
2011-02-18,360
2011-02-19,272
2011-02-20,277
2011-02-21,380
2011-02-22,444
2011-02-23,436
2011-02-24,435
2011-02-25,373
2011-02-26,309
2011-02-27,278
2011-02-28,439
2011-02-29,102
2011-02-30,102
2011-02-31,102
2011-03-01,428
2011-03-02,445
2011-03-03,394
2011-03-04,362
2011-03-05,269
2011-03-06,254
2011-03-07,397
2011-03-08,405
2011-03-09,421
2011-03-10,481
2011-03-11,399
2011-03-12,280
2011-03-13,273
2011-03-14,372
2011-03-15,380
2011-03-16,443
2011-03-17,403
2011-03-18,363
2011-03-19,247
2011-03-20,248
2011-03-21,394
2011-03-22,396
2011-03-23,410
2011-03-24,407
2011-03-25,388
2011-03-26,260
2011-03-27,255
2011-03-28,458
2011-03-29,384
2011-03-30,413
2011-03-31,425
2011-04-01,338
2011-04-02,248
2011-04-03,291
2011-04-04,366
2011-04-05,461
2011-04-06,404
2011-04-07,431
2011-04-08,380
2011-04-09,245
2011-04-10,289
2011-04-11,391
2011-04-12,406
2011-04-13,449
2011-04-14,413
2011-04-15,331
2011-04-16,261
2011-04-17,238
2011-04-18,367
2011-04-19,400
2011-04-20,433
2011-04-21,392
2011-04-22,340
2011-04-23,245
2011-04-24,236
2011-04-25,367
2011-04-26,415
2011-04-27,442
2011-04-28,406
2011-04-29,333
2011-04-30,254
2011-04-31,97
2011-05-01,273
2011-05-02,394
2011-05-03,397
2011-05-04,436
2011-05-05,378
2011-05-06,389
2011-05-07,234
2011-05-08,290
2011-05-09,411
2011-05-10,424
2011-05-11,455
2011-05-12,425
2011-05-13,387
2011-05-14,268
2011-05-15,257
2011-05-16,462
2011-05-17,444
2011-05-18,416
2011-05-19,462
2011-05-20,346
2011-05-21,258
2011-05-22,275
2011-05-23,419
2011-05-24,415
2011-05-25,406
2011-05-26,437
2011-05-27,305
2011-05-28,232
2011-05-29,270
2011-05-30,310
2011-05-31,385
2011-06-01,382
2011-06-02,343
2011-06-03,404
2011-06-04,279
2011-06-05,323
2011-06-06,440
2011-06-07,411
2011-06-08,437
2011-06-09,400
2011-06-10,355
2011-06-11,277
2011-06-12,234
2011-06-13,354
2011-06-14,383
2011-06-15,439
2011-06-16,408
2011-06-17,364
2011-06-18,237
2011-06-19,271
2011-06-20,428
2011-06-21,495
2011-06-22,423
2011-06-23,373
2011-06-24,350
2011-06-25,232
2011-06-26,226
2011-06-27,386
2011-06-28,396
2011-06-29,453
2011-06-30,402
2011-06-31,92
2011-07-01,350
2011-07-02,220
2011-07-03,240
2011-07-04,310
2011-07-05,375
2011-07-06,443
2011-07-07,438
2011-07-08,346
2011-07-09,227
2011-07-10,243
2011-07-11,349
2011-07-12,410
2011-07-13,378
2011-07-14,370
2011-07-15,355
2011-07-16,224
2011-07-17,235
2011-07-18,408
2011-07-19,404
2011-07-20,429
2011-07-21,384
2011-07-22,520
2011-07-23,253
2011-07-24,279
2011-07-25,408
2011-07-26,433
2011-07-27,462
2011-07-28,418
2011-07-29,423
2011-07-30,231
2011-07-31,236
2011-08-01,389
2011-08-02,385
2011-08-03,424
2011-08-04,446
2011-08-05,362
2011-08-06,249
2011-08-07,257
2011-08-08,403
2011-08-09,441
2011-08-10,403
2011-08-11,375
2011-08-12,385
2011-08-13,252
2011-08-14,243
2011-08-15,352
2011-08-16,374
2011-08-17,347
2011-08-18,329
2011-08-19,329
2011-08-20,240
2011-08-21,258
2011-08-22,361
2011-08-23,400
2011-08-24,362
2011-08-25,358
2011-08-26,334
2011-08-27,226
2011-08-28,232
2011-08-29,321
2011-08-30,354
2011-08-31,382
